model_slug,temperature,decoder,contrast,metric,paired_contexts,mean_paired_difference,median_paired_difference,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_05,family_definition
gemma3-12b-it,1.0,top_p,top-p .80→.99,ttr,50,0.010399999999999994,0.010000000000000009,448.0,0.2180347787359338,1.0,False,156 secondary endpoint tests
gemma3-12b-it,1.0,top_p,top-p .80→.99,mtld,50,4.2404662281480086,0.9029927760577863,506.5,0.5428448224570125,1.0,False,156 secondary endpoint tests
gemma3-12b-it,1.0,min_p,min-p .10→.01,ttr,50,0.006999999999999999,0.010000000000000009,464.5,0.40532113088185395,1.0,False,156 secondary endpoint tests
gemma3-12b-it,1.0,min_p,min-p .10→.01,mtld,50,4.106517348588227,6.363636363636367,449.5,0.32010307144815686,1.0,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,top_k,top-k 10→80,ttr,39,0.023076923076923075,0.030000000000000027,246.0,0.11128553953374991,1.0,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,top_k,top-k 10→80,mtld,39,6.47301225442388,8.87262639307409,212.0,0.05730468909396958,1.0,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,top_p,top-p .80→.99,ttr,42,0.06261904761904762,0.03999999999999998,194.5,0.0022140550744139606,0.26125849878084734,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,top_p,top-p .80→.99,mtld,42,7.3721125171611295,8.005254396259144,287.0,0.06295283138499941,1.0,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,min_p,min-p .10→.01,ttr,39,0.06384615384615386,0.050000000000000044,148.0,0.0012477567317708787,0.1534740780078181,False,156 secondary endpoint tests
gemma4-e4b-base,0.7,min_p,min-p .10→.01,mtld,39,8.287524113619389,2.590002590002598,240.0,0.09254540640638156,1.0,False,156 secondary endpoint tests
gemma4-e4b-base,1.0,top_k,top-k 10→80,ttr,38,0.06921052631578946,0.06000000000000005,49.0,8.077794750876242e-06,0.0011955136231296837,True,156 secondary endpoint tests
gemma4-e4b-base,1.0,top_k,top-k 10→80,mtld,38,27.47644871163338,28.647827242391642,60.0,1.093020405784784e-05,0.0015958097924457847,True,156 secondary endpoint tests
gemma4-e4b-base,1.0,top_p,top-p .80→.99,ttr,39,0.07641025641025642,0.06999999999999995,58.5,1.6036281858822855e-05,0.002325260869529314,True,156 secondary endpoint tests
gemma4-e4b-base,1.0,top_p,top-p .80→.99,mtld,39,27.833515861802105,19.20165779814903,82.0,0.00013544566349090278,0.01842061023476278,True,156 secondary endpoint tests
gemma4-e4b-base,1.0,min_p,min-p .10→.01,ttr,42,0.06071428571428572,0.050000000000000044,60.5,6.798317222099921e-06,0.001026545900537088,True,156 secondary endpoint tests
gemma4-e4b-base,1.0,min_p,min-p .10→.01,mtld,42,16.969281109259185,18.903703938583604,172.0,0.00137874135631895,0.1682064454709119,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,top_k,top-k 10→80,ttr,50,0.005199999999999998,0.0,172.5,0.21473669358036107,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,top_k,top-k 10→80,mtld,50,2.8595165325579215,0.0,181.0,0.28938779296386474,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,top_p,top-p .80→.99,ttr,50,4.440892098500626e-18,0.0,459.5,0.6779088916027938,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,top_p,top-p .80→.99,mtld,50,0.1956754364533542,0.0,474.0,0.6234093748267027,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,min_p,min-p .10→.01,ttr,50,0.009800000000000008,0.010000000000000009,405.0,0.13785569353326182,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,0.7,min_p,min-p .10→.01,mtld,50,6.514366784662252,6.666666666666657,398.5,0.12078294476734626,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,1.0,top_k,top-k 10→80,ttr,50,0.004000000000000006,0.0,419.0,0.6840798186241381,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,1.0,top_k,top-k 10→80,mtld,50,2.8412601852048978,0.0,463.5,0.7131562613834828,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,1.0,top_p,top-p .80→.99,ttr,50,0.008400000000000003,0.020000000000000018,424.5,0.20433229798222385,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,1.0,top_p,top-p .80→.99,mtld,50,4.144531217770773,10.17259552042161,442.5,0.2842636491098134,1.0,False,156 secondary endpoint tests
