metric,repeated_spearman_rho,ci95_low,ci95_high,configuration_averages,model_temperature_panels,models,configurations_per_panel,ci_method
mean_ttr,0.6669090266719125,0.5028140420261308,0.8169910939256104,286,26,13,11,"model-cluster bootstrap, 10000 draws"
mean_mtld,0.6626329073580883,0.5077390612012604,0.8064534260847953,286,26,13,11,"model-cluster bootstrap, 10000 draws"
