temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
0.7,google/gemma-3-27b-it,min_p,0.09,0.086,86,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.1,0.082,82,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,1.0,0.046,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,2.0,0.071,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,3.0,0.09,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,4.0,0.106,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,6.0,0.127,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,8.0,0.146,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,9.0,0.16,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,10.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,11.0,0.17,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,12.0,0.176,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,13.0,0.182,182,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,14.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,15.0,0.193,193,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,16.0,0.198,198,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,17.0,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,18.0,0.206,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,19.0,0.207,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,20.0,0.216,216,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.5,0.046,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.55,0.053,53,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.6,0.062,62,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.65,0.074,74,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.7,0.094,94,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.75,0.118,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.8,0.14,140,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.85,0.184,184,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.9,0.24,240,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.95,0.363,363,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.99,0.634,634,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.01,0.21,210,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.02,0.183,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.03,0.161,161,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.04,0.145,145,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.05,0.132,132,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.06,0.125,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.07,0.12,120,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.08,0.113,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.09,0.108,108,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.1,0.104,104,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,1.0,0.046,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,2.0,0.071,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,3.0,0.09,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,4.0,0.106,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,6.0,0.127,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,8.0,0.146,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,9.0,0.16,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,10.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,11.0,0.17,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,12.0,0.176,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,13.0,0.182,182,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,14.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,15.0,0.193,193,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,16.0,0.198,198,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,17.0,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,18.0,0.206,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,19.0,0.207,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,20.0,0.216,216,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.5,0.276,276,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.55,0.34,340,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.6,0.388,388,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.65,0.454,454,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.7,0.536,536,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.75,0.623,623,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.8,0.697,697,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.85,0.784,784,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.9,0.873,873,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.95,0.954,954,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_p,0.99,0.998,998,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.01,0.366,366,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.02,0.284,284,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.03,0.244,244,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.04,0.219,219,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.05,0.201,201,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.06,0.196,196,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.07,0.186,186,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.08,0.177,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.09,0.161,161,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,min_p,0.1,0.157,157,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
