temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-27b-pt,top_p,0.99,0.87,0.0,87,0,100,255,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.01,0.7,0.0,70,0,100,153,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.02,0.66,0.0,66,0,100,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.03,0.65,0.0,65,0,100,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.04,0.64,0.0,64,0,100,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.05,0.6,0.0,60,0,100,101,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.06,0.58,0.0,58,0,100,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.07,0.57,0.0,57,0,100,89,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.08,0.57,0.0,57,0,100,89,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.09,0.57,0.0,57,0,100,88,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.1,0.55,0.0,55,0,100,81,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,1.0,0.26,0.0,26,0,100,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,2.0,0.39,0.0,39,0,100,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,3.0,0.48,0.0,48,0,100,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,4.0,0.52,0.0,52,0,100,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,6.0,0.61,0.0,61,0,100,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,7.0,0.63,0.0,63,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,8.0,0.63,0.0,63,0,100,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,9.0,0.7,0.0,70,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,10.0,0.73,0.0,73,0,100,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,11.0,0.75,0.0,75,0,100,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,12.0,0.77,0.0,77,0,100,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,13.0,0.77,0.0,77,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
