temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-27b-it,min_p,0.04,0.54,0.0,54,0,100,104,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.05,0.52,0.0,52,0,100,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.06,0.52,0.0,52,0,100,93,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.07,0.51,0.0,51,0,100,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.08,0.51,0.0,51,0,100,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.09,0.51,0.0,51,0,100,86,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
0.7,google/gemma-3-27b-it,min_p,0.1,0.49,0.0,49,0,100,82,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,1.0,0.32,0.0,32,0,100,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,2.0,0.45,0.0,45,0,100,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,3.0,0.5,0.0,50,0,100,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,4.0,0.53,0.0,53,0,100,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
